 1995 ---       +3.360 +4.759 
 2011 ---       -2.564 -6.151 
 2014 ---       -1.570 -0.668 
 2017 ---       -8.448 +0.713 
 2024 ---       -6.467 +0.822 
 2060 ---       +8.295 +3.226 
 2070 ---       -5.754 -1.847 
 2074 ---       -6.830 -1.100 
 2078 ---       +1.350 -1.352 
 2091 ---       +5.022 +2.617 
 2098 ---       +1.440 +5.100 
 2105 ---       -6.605 +1.217 
 2107 ---       -1.847 -0.053 
 2113 ---       +1.081 -5.163 
 2119 ---       -6.991 +1.236 
 2128 ---       +3.799 +3.546 
 2130 ---       -5.989 -0.245 
 2140 ---       +4.757 +3.221 
 2143 ---       -6.181 -2.349 
 2149 ---       -4.759 +2.358 
 2159 ---       -6.754 -0.715 
 2174 ---       -9.076 +2.390 
 2204 ---       +3.882 +3.452 
 2215 ---       -1.927 -0.077 
 2253 ---       -4.835 +0.020 
 2259 ---       +7.358 +3.556 
 2299 ---       -2.713 +0.779 
 2327 ---      -12.331 +2.340 
 2365 ---       -2.221 -0.040 
 2403 ---       +0.822 +0.469 
 2420 ---       -2.584 -0.230 
 2440 ---       -4.661 +0.136 
 2442 ---       +0.682 -9.927 
 2444 ---       +2.501 +2.591 
 2503 ---       +9.035 +3.153 
 2538 ---       -5.728 +1.036 
 2558 ---       -7.137 +2.634 
 2590 ---       -1.399 -1.650 
 2599 ---       -3.454 +0.418 
 2645 ---       +4.369 +2.331 
 2728 ---       +9.323 +3.625 
 2775 ---       -2.834 +1.461 
 2790 ---       -6.594 +0.222 
 2908 ---       +6.779 +3.050 
 2920 ---       -8.376 +7.134 
 2923 ---       +6.516 +3.767 
 2946 ---       +8.651 +6.638 
 2965 ---       -3.893 -0.745 
 2966 ---       -1.469 +1.283 
 3109 ---       +3.332 +4.095 
 3153 ---       +3.826 -3.854 
 3155 ---       -5.874 -7.916 
 3158 ---       +1.402 +0.638 
 3167 ---       -3.113 +1.422 
 3220 ---       -4.458 -0.336 
 3231 ---       +9.790 +3.390 
 3268 ---       -0.511 -1.220 
 3285 ---      -10.608 +2.224 
 3321 ---       +0.241 -1.395 
 3332 ---       -7.923 -0.009 
 3354 ---       -2.402 +1.079 
 3381 ---       +3.847 +2.756 
 3431 ---       +9.224 +3.035 
 3494 ---       -1.705 -2.587 
 3501 ---       -6.984 +7.180 
 3523 ---       -1.680 +0.463 
 3528 ---       -6.192 +2.547 
 3559 ---       +8.976 +3.497 
 3578 ---       +6.223 +3.496 
 3586 ---       +0.487 +1.546 
 3628 ---       +9.850 -2.958 
 3657 ---       +0.276 -8.144 
 3665 ---       +3.632 +4.200 
 3674 ---       -2.151 -1.116 
 3677 ---       -5.899 -0.891 
 3740 ---       +2.974 +2.858 
 3748 ---       -7.744 +0.234 
 3759 ---       +7.335 +3.453 
 3760 ---       -4.962 +2.463 
 3792 ---       -0.909 +1.310 
 3869 ---       -1.766 -6.193 
 3915 ---       +9.566 +3.884 
 3935 ---       -1.998 +1.071 
 3944 ---       -0.498 -3.567 
 3963 ---       -0.983 +1.471 
 3968 ---       +0.917 -2.902 
 3999 ---       +7.887 +3.221 
 4002 ---       +0.051 -0.276 
 4005 ---       -2.975 -6.811 
 4006 ---       +2.605 +4.696 
 4025 ---       -9.074 -1.375 
 4031 ---       +3.618 +3.310 
 4038 ---       -4.807 -0.331 
 4062 ---       -9.136 -2.354 
 4085 ---       -4.921 +0.407 
 4104 ---       -3.547 +2.125 
 4145 ---       -6.384 +0.651 
 4147 ---       +2.243 -2.129 
 4156 ---       +7.680 +2.884 
 4159 ---       -6.867 +2.240 
 4165 ---       +0.913 +3.105 
 4179 ---       +0.075 -1.276 
 4215 ---       -1.039 -5.223 
 4219 ---      +13.439 +3.777 
 4282 ---       +7.221 +4.112 
 4353 ---       +2.031 +3.173 
 4370 ---       -1.865  0.000 
 4373 ---       -0.282 -0.378 
 4376 ---       -2.925 -1.265 
 4440 ---       +3.011 +2.642 
 4510 ---       -1.899 +0.885 
 4546 ---       +0.243 -2.461 
 4562 ---      +10.189 +3.573 
 4606 ---       -6.772 +0.444 
 4635 ---       +7.017 +2.000 
 4640 ---       -8.797 +1.184 
 4673 ---       -4.328 +1.435 
 4761 ---       -0.394 +1.240 
 4939 ---       -8.095 +1.508 
 4948 ---       -7.957 +0.514 
 4956 ---       +1.918 +4.582 
 5065 ---       +7.716 +4.972 
 5118 ---       -0.175 -1.184 
 5143 1991 VL   -1.196 -2.120 
 7341 1991 VK   -6.562 -0.658 
 7474 1992 TC   +4.756 +2.871 
 8176 1991 WA   +0.324 -0.032 
11066 1992 CC1  +0.985 +1.208 
    0 1991 XB   +2.096 +1.755 
    0 1992 NA   +8.796 +2.550 
    0 1992 UB   +5.367 +3.233 
