 1501 ---       74415  74952 538 1501baade          
 1518 ---       74953  75440 488 1518rovaniemi      
 1534 ---       75441  75864 424 1534nasi           
 1577 ---       75865  76365 501 1577reiss          
 1584 ---       76366  76830 465 1584fuji           
 1607 ---       76831  77269 439 1607mavis          
 1626 ---       77270  77765 496 1626sadeya         
 1628 ---       77766  78232 467 1628strobel        
 1646 ---       78233  78696 464 1646rosseland      
 1651 ---       78697  79164 468 1651behrens        
 1653 ---       79165  79635 471 1653yakhontovia    
 1658 ---       79636  80123 488 1658innes          
 1679 ---       80124  80559 436 1679nevanlinna     
 1697 ---       80560  80962 403 1697koskenniemi    
 1712 ---       80963  81402 440 1712angola         
 1722 ---       81403  81853 451 1722goffin         
 1725 ---       81854  82374 521 1725crao           
 1743 ---       82375  82848 474 1743schmidt        
 1749 ---       82849  83309 461 1749telamon        
 1772 ---       83310  83800 491 1772gagarin        
 1781 ---       83801  84226 426 1781vanbiesbroeck  
 1807 ---       84227  84750 524 1807slovakia       
 1854 ---       84751  85196 446 1854skvortsov      
 1892 ---       85197  85628 432 1892lucienne       
 1906 ---       85629  86120 492 1906naef           
 1907 ---       86121  86591 471 1907rudneva        
 1929 ---       86592  87058 467 1929kollaa         
 1933 ---       87059  87540 482 1933tinchen        
 1934 ---       87541  88046 506 1934jeffers        
 1967 ---       88047  88491 445 1967menzel         
 1995 ---       88492  89006 515 1995hajek          
 2011 ---       89007  89441 435 2011veteraniya     
 2014 ---       89442  89921 480 2014vasilevskis    
 2017 ---       89922  90458 537 2017wesson         
 2024 ---       90459  90859 401 2024mclaughlin     
 2060 ---       90860  91345 486 2060chiron         
 2070 ---       91346  91884 539 2070humason        
 2074 ---       91885  92416 532 2074shoemaker      
 2078 ---       92417  92936 520 2078nanking        
 2091 ---       92937  93425 489 2091sampo          
 2098 ---       93426  93810 385 2098zyskin         
 2105 ---       93811  94262 452 2105gudy           
 2107 ---       94263  94681 419 2107ilmari         
 2113 ---       94682  95107 426 2113ehrdni         
 2119 ---       95108  95615 508 2119schwall        
 2128 ---       95616  96051 436 2128wetherill      
 2130 ---       96052  96577 526 2130evdokiya       
 2140 ---       96578  96981 404 2140kemerovo       
