 4800     0.09249   0.18442   0.92259   0.05078 
 4900     0.09141   0.18625   0.93434   0.04470 
 5000     0.09028   0.18740   0.94603   0.03830 
 5100     0.08672   0.18859   0.95751   0.03195 
 5200     0.07503   0.19307   0.96830   0.02614 
 5300     0.05998   0.18922   0.97890   0.02052 
 5400     0.05052   0.13757   0.99014   0.01323 
 5500    -0.00844   0.01796   1.00085   0.00906 
 5600    -0.08713  -0.09095   1.01077   0.01092 
 5700    -0.12092  -0.11943   1.01984   0.01516 
 5800    -0.13544  -0.13719   1.02850   0.01998 
 5900    -0.14684  -0.13394   1.03651   0.02498 
 6000    -0.15512  -0.12522   1.04433   0.03004 
 6100    -0.16072  -0.11748   1.05265   0.03493 
 6200    -0.16486  -0.11009   1.06080   0.03968 
 6300    -0.16786  -0.10264   1.06872   0.04470 
 6400    -0.16952  -0.09698   1.07687   0.04972 
 6500    -0.17017  -0.09390   1.08531   0.05475 
 6600    -0.17026  -0.09186   1.09379   0.05981 
 6700    -0.17046  -0.08850   1.10197   0.06472 
 6800    -0.17050  -0.08594   1.11003   0.06911 
 6900    -0.17058  -0.08368   1.11790   0.07324 
 7000    -0.17087  -0.07995   1.12500   0.07701 
 7100    -0.17138  -0.07507   1.13138   0.08068 
 7200    -0.17193  -0.06911   1.13663   0.08394 
 7300    -0.17287  -0.06216   1.14119   0.08641 
 7400    -0.17390  -0.05311   1.14456   0.08835 
 7500    -0.17531  -0.04148   1.14662   0.08985 
 7600    -0.17683  -0.02637   1.14730   0.09116 
 7700    -0.17821  -0.00745   1.14627   0.09219 
 7800    -0.17873   0.01475   1.14347   0.09333 
 7900    -0.17799   0.04041   1.13891   0.09488 
 8000    -0.17521   0.06767   1.13283   0.09775 
 8100    -0.17014   0.09436   1.12568   0.10199 
 8200    -0.16348   0.11811   1.11777   0.10764 
 8300    -0.15560   0.13900   1.10912   0.11460 
 8400    -0.14746   0.15593   1.10040   0.12221 
 8500    -0.13962   0.16940   1.09154   0.13043 
 8600    -0.13258   0.17962   1.08341   0.13817 
 8700    -0.12647   0.18747   1.07586   0.14544 
 8800    -0.12138   0.19330   1.06920   0.15208 
 8900    -0.11711   0.19777   1.06373   0.15779 
 9000    -0.11383   0.20102   1.05936   0.16253 
 9100    -0.11132   0.20333   1.05633   0.16616 
 9200    -0.10943   0.20507   1.05456   0.16891 
 9300    -0.10821   0.20613   1.05396   0.17080 
 9400    -0.10743   0.20662   1.05441   0.17199 
 9500    -0.10692   0.20679   1.05579   0.17260 
 9600    -0.10677   0.20636   1.05796   0.17238 
 9700    -0.10677   0.20541   1.06091   0.17153 
